query_num,trial,method,alignment,regret,quality_avg,quality_max,quality_min,quality_median
0,0,CMA-ES,0.8254540275208503,0.39591805061600494,0.34710992954043796,0.6357250558061877,-0.14143869932113715,0.4431807626589611
1,0,CMA-ES,0.868655800028769,0.2348146685368402,0.22428262418263917,0.6633477728005831,-0.3708072489745636,0.3182993842843493
2,0,CMA-ES,0.9097888701742998,0.1839795128256807,0.11970140340605862,0.6069340110840086,-0.378546412318508,0.04528866938438735
3,0,CMA-ES,0.9495261254173647,0.2779266399935747,0.4434160893039376,0.853685616690134,0.08346338062156024,0.3214677512861434
4,0,CMA-ES,0.9052176853841423,0.2779266399935747,0.6169848392710886,0.8651392627367397,0.44381017309532456,0.5616030555661871
5,0,CMA-ES,0.8916079397774954,0.2779266399935747,0.7474635911996295,0.9045932342126091,0.5062632179719053,0.8184290637870572
6,0,CMA-ES,0.9047972194426507,0.2779266399935747,0.6313247927775203,0.8088612297109047,0.45037078682498216,0.6405843941413905
7,0,CMA-ES,0.9050016450781138,0.2779266399935747,0.7353561608375425,0.844163583451289,0.5964651301526236,0.7706432106919474
8,0,CMA-ES,0.951177627273193,0.2779266399935747,0.6733495636573424,0.8186420180188664,0.44291517681495307,0.688329653189244
9,0,CMA-ES,0.9613144380083629,2.220446049250313e-16,0.7730529053413502,0.903720280699036,0.6052507401512659,0.8263143787408248
10,0,CMA-ES,0.9598670194520526,2.220446049250313e-16,0.8482320585603433,0.927660961967906,0.6796859907554871,0.9044738386959277
11,0,CMA-ES,0.9579692039271783,2.220446049250313e-16,0.8907893440074786,0.9127781139657819,0.8468466866634697,0.8994041162312226
12,0,CMA-ES,0.9512993162415551,2.220446049250313e-16,0.8509915709079336,0.8751143841274749,0.8180581801238104,0.8529375093292565
13,0,CMA-ES,0.9532911529836297,2.220446049250313e-16,0.820747698727265,0.8864814231345052,0.7707090772498184,0.8185103033707761
14,0,CMA-ES,0.9474145171457053,2.220446049250313e-16,0.8717267284201269,0.9259681209061823,0.7865046569988144,0.8819928481802377
15,0,CMA-ES,0.9473644476816796,2.220446049250313e-16,0.8552633826916729,0.8850127988466953,0.7965099198651785,0.8692009455192728
16,0,CMA-ES,0.9456698755181658,2.220446049250313e-16,0.8365968994985582,0.873411957767993,0.8129205702234091,0.8337523358127238
