query_num,trial,method,alignment,regret,quality_avg,quality_max,quality_min,quality_median
0,0,CMA-ES,0.6273777705445082,0.058913576205277096,0.5211658442657702,0.8199748172188862,-0.04694487897819167,0.6987818044178523
1,0,CMA-ES,0.9130535542699347,0.058913576205277096,0.3188132220155313,0.8773228910117976,-0.7152859079705666,0.5852310427670717
2,0,CMA-ES,0.915534262885115,0.058913576205277096,0.6678070299851253,0.8085551440005085,0.5018745562759523,0.7200125018695085
3,0,CMA-ES,0.8871833634088512,0.11673234289140089,0.6142865139105076,0.7407954629226685,0.3586248994838226,0.6314515405362424
4,0,CMA-ES,0.9539076201013016,0.058913576205277096,0.6468581809170862,0.95038202310333,0.4761442342624817,0.5349273660061875
5,0,CMA-ES,0.9568976166653479,0.058913576205277096,0.7854707647089875,0.9700328634255895,0.5882214563889473,0.8248061314642434
6,0,CMA-ES,0.9909450913728494,0.058913576205277096,0.8730888342278244,0.964495808172115,0.7777211169326919,0.8673406135161786
7,0,CMA-ES,0.9947075762473685,1.1102230246251565e-16,0.8344103453998812,0.9533396797542151,0.743974986095785,0.7692593930906131
8,0,CMA-ES,0.9924103235030498,0.058913576205277096,0.8686572339518772,0.926926825382035,0.7616882907920478,0.8872919296130721
9,0,CMA-ES,0.9819360774319577,0.023109974096141683,0.7633084742089451,0.8851694348457223,0.6614921070536969,0.7025879050061148
10,0,CMA-ES,0.9879354189540607,0.023109974096141683,0.8549762511916713,0.9609017109004746,0.6931027549053118,0.8677223085637646
11,0,CMA-ES,0.9929830099471195,0.023109974096141683,0.8303234937644544,0.9226070335008344,0.6126244364095375,0.9001646006032704
12,0,CMA-ES,0.9928745346975402,0.023109974096141683,0.9298629877836913,0.951084330158078,0.8722751590463221,0.9401233122394146
13,0,CMA-ES,0.9936905131550804,0.023109974096141683,0.9105555342144728,0.9498686665294123,0.8617242780199315,0.9160638672068508
14,0,CMA-ES,0.9968347730166699,0.023109974096141683,0.934610841418003,0.9896562549004401,0.8664448292161432,0.9377046260342797
15,0,CMA-ES,0.9959057652604357,0.023109974096141683,0.9479978102150302,0.9666631569825592,0.9349745931282423,0.9431010029555885
16,0,CMA-ES,0.9973878141937463,0.023109974096141683,0.9338776985965997,0.9503567521304921,0.90736215358599,0.936773735889411
17,0,CMA-ES,0.998518914051058,0.023109974096141683,0.9432817583235471,0.9597163136194842,0.9178594484521264,0.9455608456987564
18,0,CMA-ES,0.9979622396613249,0.023109974096141683,0.9421006221571242,0.9600717063353644,0.9244186921197125,0.9391604029480662
19,0,CMA-ES,0.9974002234304854,0.023109974096141683,0.9410191451854905,0.9565667023564633,0.9200374975366202,0.944448596518515
20,0,CMA-ES,0.9976953057552885,0.023109974096141683,0.9402840952689712,0.9514964087079666,0.925782491148733,0.9452277619456074
21,0,CMA-ES,0.9975750262936781,0.023109974096141683,0.9398930398413489,0.9507907428701489,0.917006325358006,0.9465791650248132
