query_num,method,alignment,regret,quality_avg,quality_max,quality_min,quality_median
0,CMA-ES,0.20265457021213645,1.291354140875696,-0.12508378166008252,0.04722966298548409,-0.36036217732810966,-0.09360130614885226
1,CMA-ES,0.22868588930274755,0.8699140057423582,-0.04265740131263296,0.10440839245862224,-0.2160646706848269,-0.02948666351216359
2,CMA-ES,0.27464171524457837,0.4863047474427642,0.08177323714338278,0.24305277331029193,-0.11890446933076122,0.1014723222970002
3,CMA-ES,0.2318211768944942,0.4875812675183049,0.16002757480872054,0.2296344598812778,-0.008211316897159968,0.20934357812538215
4,CMA-ES,0.27316941958213503,0.4875812675183049,0.12670109281557154,0.3946920987288611,0.008741737503047206,0.05168526751518896
5,CMA-ES,0.2767799702194889,0.20277182616422795,0.13263672589710335,0.25236820406189564,0.07008795662352163,0.10404537145149809
6,CMA-ES,0.3500787404260503,0.5553084307369245,0.0694156570998207,0.27907429526719535,-0.12844498944923752,0.0635166612906625
7,CMA-ES,0.4581670606657401,0.0038225885944216387,0.20514106799153356,0.2874338795400546,0.13633921085585105,0.19839559078511432
8,CMA-ES,0.47756476409939796,0.0038225885944216387,0.1582073562278989,0.22163165184506828,0.07976739172102906,0.1657151906727491
9,CMA-ES,0.48142294282250636,0.0038225885944216387,0.22381235962191687,0.2985830148323613,0.12555160368836588,0.23555740998347008
10,CMA-ES,0.43700289596031494,0.8704606391983303,0.2513578652776294,0.39298561731607196,0.1776714822297636,0.21738718078234104
11,CMA-ES,0.3939207382200202,0.8617862542490036,0.2336798596766616,0.4340086900401406,0.06265231922717897,0.21902921471966347
12,CMA-ES,0.3785831546922509,0.752077770602491,0.3115535976644247,0.3795925416620142,0.21141031972347515,0.3276057646361047
13,CMA-ES,0.39874980786836617,0.752077770602491,0.30365442542509746,0.4169546090679013,0.06717427279489546,0.3652444099187966
14,CMA-ES,0.15241637564171526,0.8673297134405615,0.3265847441986846,0.501054800300021,0.24495132113094945,0.280166427681884
15,CMA-ES,0.5020312479334295,0.0,0.4288979032041572,0.5377560441563498,0.3198825598659319,0.42897650439717355
16,CMA-ES,0.49300859523448376,0.2043760695130823,0.4050110306209528,0.5089568998678804,0.2629329627134641,0.42407712995123326
17,CMA-ES,0.5139156853735697,0.2043760695130823,0.4769186996117177,0.6236954509819681,0.3385589307912963,0.4727102083368032
18,CMA-ES,0.4197997018418747,0.2043760695130823,0.505095294562175,0.5219366172296306,0.4974222139043797,0.5005111735573446
19,CMA-ES,0.3757292150196299,0.2043760695130823,0.42964152807686334,0.4706118773758807,0.3683587528152973,0.4397977410581376
20,CMA-ES,0.3746864098567646,0.2043760695130823,0.37159279200395556,0.4132116600223672,0.29473653092639823,0.3892114885335284
