timestamp,pid,task,method,sequence,played_trajectory
1722373739.477294,13,handover,infogain,0,301
1722373756.3879735,13,handover,infogain,0,404
1722373791.172064,13,handover,infogain,0,992
1722373805.9401731,13,handover,infogain,0,404
1722373824.100078,13,handover,infogain,1,778
1722373837.3081262,13,handover,infogain,1,712
1722373851.0606296,13,handover,infogain,1,294
1722373869.756431,13,handover,infogain,1,294
1722373886.4126728,13,handover,infogain,2,89
1722373900.4605625,13,handover,infogain,2,278
1722373914.0450773,13,handover,infogain,2,425
1722373931.1488268,13,handover,infogain,2,301
1722373945.4536722,13,handover,infogain,2,425
1722373961.9581087,13,handover,infogain,3,263
1722373975.8142548,13,handover,infogain,3,963
1722373990.1871061,13,handover,infogain,3,223
1722374003.6054623,13,handover,infogain,3,963
1722374021.82153,13,handover,infogain,4,713
1722374035.3657975,13,handover,infogain,4,197
1722374046.3740165,13,handover,infogain,4,197
1722374056.4556127,13,handover,infogain,4,119;best
1722374141.305216,13,handover,CMA-ES,0,947
1722374157.5826862,13,handover,CMA-ES,0,708
1722374171.1588821,13,handover,CMA-ES,0,337
1722374186.5607216,13,handover,CMA-ES,0,337
1722374204.189947,13,handover,CMA-ES,1,437
1722374218.2612238,13,handover,CMA-ES,1,912
1722374231.548303,13,handover,CMA-ES,1,967
1722374246.9880927,13,handover,CMA-ES,2,849
1722374260.8857024,13,handover,CMA-ES,2,127
1722374275.2191198,13,handover,CMA-ES,2,912
1722374289.2822502,13,handover,CMA-ES,2,127
1722374304.3855577,13,handover,CMA-ES,3,824
1722374317.6830382,13,handover,CMA-ES,3,772
1722374330.913968,13,handover,CMA-ES,3,445
1722374345.2714393,13,handover,CMA-ES,4,227
1722374358.935402,13,handover,CMA-ES,4,502
1722374372.063516,13,handover,CMA-ES,4,578
1722374391.5264409,13,handover,CMA-ES,5,822
1722374405.0316653,13,handover,CMA-ES,5,451
1722374418.405895,13,handover,CMA-ES,5,949
1722374435.0688357,13,handover,CMA-ES,6,999
1722374544.1315455,13,handover,CMA-ES-IG,0,905
1722374558.1613843,13,handover,CMA-ES-IG,0,696
1722374571.9695501,13,handover,CMA-ES-IG,0,104
1722374596.0488966,13,handover,CMA-ES-IG,1,368
1722374609.464719,13,handover,CMA-ES-IG,1,564
1722374622.840619,13,handover,CMA-ES-IG,1,429
1722374637.693145,13,handover,CMA-ES-IG,2,241
1722374648.3676608,13,handover,CMA-ES-IG,2,24
1722374653.191912,13,handover,CMA-ES-IG,2,24
1722374667.087701,13,handover,CMA-ES-IG,2,531
1722374680.46349,13,handover,CMA-ES-IG,2,564
1722374694.6391299,13,handover,CMA-ES-IG,3,904
1722374707.8757982,13,handover,CMA-ES-IG,3,733
1722374721.2785091,13,handover,CMA-ES-IG,3,283
1722374734.478504,13,handover,CMA-ES-IG,3,564
1722374748.7660065,13,handover,CMA-ES-IG,3,733
1722374763.2377243,13,handover,CMA-ES-IG,4,167
1722374776.3815093,13,handover,CMA-ES-IG,4,204
1722374790.869292,13,handover,CMA-ES-IG,4,68
1722374805.741059,13,handover,CMA-ES-IG,5,62
1722374820.0125835,13,handover,CMA-ES-IG,5,955
1722374833.4289126,13,handover,CMA-ES-IG,5,430
