timestamp,pid,task,method,sequence,trajectory1index,trajectory1rank,trajectory2index,trajectory2rank,trajectory3index,trajectory3rank
1722380126.9892383,36,blossom,CMA-ES,0,614,0,378,1,1432,2
1722380149.2211022,36,blossom,CMA-ES,1,1121,0,1309,1,585,2
1722380171.5570822,36,blossom,CMA-ES,2,879,0,1332,1,436,2
1722380194.645201,36,blossom,CMA-ES,3,1124,0,1354,1,1065,2
1722380222.0614028,36,blossom,CMA-ES,4,1409,0,981,1,1430,2
1722380243.6694822,36,blossom,CMA-ES,5,145,0,1065,1,964,2
1722380264.3975801,36,blossom,CMA-ES,6,867,0,611,1,601,2
1722380291.0459397,36,blossom,CMA-ES,7,257,0,863,1,601,2
1722380317.3899422,36,blossom,CMA-ES,8,32,0,570,1,757,2
1722380344.9144185,36,blossom,CMA-ES,9,269,0,1265,1,185,2
1722380366.8384964,36,blossom,CMA-ES,10,404,0,1101,1,79,2
1722380397.5604281,36,blossom,CMA-ES,11,1419,0,753,1,753,2
1722380563.2747645,36,blossom,CMA-ES-IG,0,685,0,57,1,1036,2
1722380587.6350672,36,blossom,CMA-ES-IG,1,70,0,563,1,440,2
1722380619.7078042,36,blossom,CMA-ES-IG,2,904,0,696,1,440,2
1722380643.11602,36,blossom,CMA-ES-IG,3,578,0,1060,1,695,2
1722380679.692546,36,blossom,CMA-ES-IG,4,208,0,695,1,1262,2
1722380716.4049942,36,blossom,CMA-ES-IG,5,354,0,583,1,1368,2
1722380743.1257322,36,blossom,CMA-ES-IG,6,238,0,1368,1,337,2
1722380762.5215633,36,blossom,CMA-ES-IG,7,1197,0,1156,1,459,2
1722380789.8143094,36,blossom,CMA-ES-IG,8,118,0,844,1,901,2
1722380812.790491,36,blossom,CMA-ES-IG,9,858,0,901,1,313,2
1722380839.6791916,36,blossom,CMA-ES-IG,10,531,0,1262,1,313,2
1722380986.0971608,36,blossom,infogain,0,375,0,12,1,1292,2
1722381024.2018344,36,blossom,infogain,1,610,0,330,1,753,2
1722381062.930219,36,blossom,infogain,2,58,0,616,1,811,2
1722381103.3704755,36,blossom,infogain,3,206,0,355,1,594,2
1722381143.9308612,36,blossom,infogain,4,1271,0,706,1,311,2
1722381179.2355797,36,blossom,infogain,5,275,0,1209,1,205,2
1722381222.1924703,36,blossom,infogain,6,114,0,420,1,1385,2
1722381264.2523313,36,blossom,infogain,7,28,0,274,1,676,2
