timestamp,pid,task,method,sequence,played_trajectory
1722296225.4835594,10,handover,infogain,0,906
1722296239.6819751,10,handover,infogain,0,906
1722296252.842206,10,handover,infogain,0,488
1722296266.3464098,10,handover,infogain,0,947
1722296281.2815917,10,handover,infogain,0,906
1722296301.329167,10,handover,infogain,1,696
1722296314.601729,10,handover,infogain,1,564
1722296324.7817643,10,handover,infogain,1,623
1722296328.721789,10,handover,infogain,1,623
1722296345.721711,10,handover,infogain,1,696
1722296363.4656615,10,handover,infogain,2,742
1722296375.8019547,10,handover,infogain,2,356
1722296389.066307,10,handover,infogain,2,876
1722296405.498007,10,handover,infogain,2,742
1722296423.2175653,10,handover,infogain,3,337
1722296439.5622964,10,handover,infogain,3,263
1722296454.3301702,10,handover,infogain,3,120
1722296471.3676534,10,handover,infogain,4,908;best
1722296486.73812,10,handover,infogain,4,765
1722296500.3381045,10,handover,infogain,4,742
1722296511.6903713,10,handover,infogain,4,765
1722296513.5066211,10,handover,infogain,4,765
1722296523.9301653,10,handover,infogain,4,955
1722296526.8821886,10,handover,infogain,4,955
1722296540.1942391,10,handover,infogain,4,437
1722296652.5966716,10,handover,CMA-ES,0,89
1722296667.0368156,10,handover,CMA-ES,0,983
1722296680.531794,10,handover,CMA-ES,0,416
1722296696.7180037,10,handover,CMA-ES,1,732;best
1722296710.4991767,10,handover,CMA-ES,1,712
1722296724.0667343,10,handover,CMA-ES,1,972
1722296738.092916,10,handover,CMA-ES,1,934
1722296755.8286028,10,handover,CMA-ES,2,732;best
1722296771.0754352,10,handover,CMA-ES,2,864
1722296785.1792061,10,handover,CMA-ES,2,80
1722296799.8452003,10,handover,CMA-ES,2,310
1722296815.2579463,10,handover,CMA-ES,3,732;best
1722296828.4909937,10,handover,CMA-ES,3,985
1722296842.1471238,10,handover,CMA-ES,3,679
1722296855.8674119,10,handover,CMA-ES,3,934
1722296869.73366,10,handover,CMA-ES,3,649
1722296886.1885014,10,handover,CMA-ES,4,732;best
1722296899.155606,10,handover,CMA-ES,4,823
1722296913.9634435,10,handover,CMA-ES,4,8
1722296929.0533779,10,handover,CMA-ES,4,749
1722296942.9953794,10,handover,CMA-ES,4,823
1722296957.3601725,10,handover,CMA-ES,5,732;best
1722297040.578041,10,handover,CMA-ES-IG,0,574
1722297054.0113873,10,handover,CMA-ES-IG,0,53
1722297067.4437795,10,handover,CMA-ES-IG,0,328
1722297083.9156594,10,handover,CMA-ES-IG,1,567
1722297097.429499,10,handover,CMA-ES-IG,1,481
1722297110.79585,10,handover,CMA-ES-IG,1,390
1722297124.7558327,10,handover,CMA-ES-IG,1,574
1722297138.6118822,10,handover,CMA-ES-IG,1,390
1722297151.8401577,10,handover,CMA-ES-IG,2,3;best
1722297165.6861398,10,handover,CMA-ES-IG,2,603
1722297179.7563086,10,handover,CMA-ES-IG,2,697
1722297193.0045202,10,handover,CMA-ES-IG,2,986
1722297207.51704,10,handover,CMA-ES-IG,3,3;best
1722297220.6529772,10,handover,CMA-ES-IG,3,752
1722297234.1821399,10,handover,CMA-ES-IG,3,947
1722297248.244177,10,handover,CMA-ES-IG,3,839
1722297264.9000719,10,handover,CMA-ES-IG,3,839
1722297277.642159,10,handover,CMA-ES-IG,4,3;best
1722297290.8381236,10,handover,CMA-ES-IG,4,231
1722297303.8839545,10,handover,CMA-ES-IG,4,352
1722297317.0847425,10,handover,CMA-ES-IG,4,629
1722297329.7778106,10,handover,CMA-ES-IG,5,3;best
1722297342.1482592,10,handover,CMA-ES-IG,5,873
