timestamp,pid,task,method,sequence,trajectory1index,trajectory1rank,trajectory2index,trajectory2rank,trajectory3index,trajectory3rank
1722299142.2633245,31,blossom,infogain,0,1435,0,241,1,766,2
1722299187.7832189,31,blossom,infogain,1,988,0,91,1,786,2
1722299237.359747,31,blossom,infogain,2,821,0,1160,1,633,2
1722299271.8075612,31,blossom,infogain,3,206,0,374,1,87,2
1722299297.927472,31,blossom,infogain,4,493,0,101,1,1097,2
1722299327.663867,31,blossom,infogain,5,1151,0,946,1,285,2
1722299367.0961416,31,blossom,infogain,6,686,0,1163,1,1408,2
1722299405.9524248,31,blossom,infogain,7,1255,0,1203,1,198,2
1722299548.056802,31,blossom,CMA-ES,0,1082,0,444,1,647,2
1722299573.2089164,31,blossom,CMA-ES,1,633,0,1413,1,925,2
1722299604.2332652,31,blossom,CMA-ES,2,1474,0,111,1,1121,2
1722299626.5055296,31,blossom,CMA-ES,3,219,0,1309,1,1121,2
1722299649.497576,31,blossom,CMA-ES,4,1002,0,1071,1,935,2
1722299674.7216792,31,blossom,CMA-ES,5,833,0,637,1,930,2
1722299702.6020012,31,blossom,CMA-ES,6,1146,0,49,1,873,2
1722299729.2257514,31,blossom,CMA-ES,7,1214,0,402,1,217,2
1722299751.0981755,31,blossom,CMA-ES,8,441,0,964,1,995,2
1722299774.6661906,31,blossom,CMA-ES,9,600,0,256,1,995,2
1722299799.642463,31,blossom,CMA-ES,10,676,0,876,1,1285,2
1722299820.994477,31,blossom,CMA-ES,11,91,0,1186,1,872,2
1722299928.0433898,31,blossom,CMA-ES-IG,0,1096,0,661,1,884,2
1722299952.1790588,31,blossom,CMA-ES-IG,1,1134,0,1431,1,1197,2
1722299978.5314388,31,blossom,CMA-ES-IG,2,658,0,1095,1,1197,2
1722300003.915387,31,blossom,CMA-ES-IG,3,353,0,843,1,1197,2
1722300034.5395913,31,blossom,CMA-ES-IG,4,939,0,630,1,1197,2
1722300058.1958869,31,blossom,CMA-ES-IG,5,1287,0,36,1,1197,2
