timestamp,pid,task,method,sequence,trajectory1index,trajectory1rank,trajectory2index,trajectory2rank,trajectory3index,trajectory3rank
1722283667.0775611,7,handover,infogain,0,27,0,56,1,588,2
1722283735.5407288,7,handover,infogain,1,146,0,608,1,241,2
1722283825.9714034,7,handover,infogain,2,603,0,729,1,470,2
1722284120.8586218,7,handover,CMA-ES,0,523,0,458,1,623,2
1722284162.8421748,7,handover,CMA-ES,1,149,0,687,1,742,2
1722284204.7371323,7,handover,CMA-ES,2,531,0,641,1,94,2
1722284244.6568413,7,handover,CMA-ES,3,810,0,335,1,62,2
1722284290.672994,7,handover,CMA-ES,4,404,0,531,1,907,2
1722284335.5128834,7,handover,CMA-ES,5,544,0,941,1,765,2
1722284401.7204998,7,handover,CMA-ES,6,650,0,471,1,570,2
1722284438.5437891,7,handover,CMA-ES,7,965,0,983,1,43,2
1722284609.288269,7,handover,CMA-ES-IG,0,34,0,246,1,291,2
1722284707.584322,7,handover,CMA-ES-IG,1,729,0,774,1,190,2
1722284776.175672,7,handover,CMA-ES-IG,2,99,0,570,1,55,2
1722284816.831659,7,handover,CMA-ES-IG,3,149,0,74,1,213,2
1722284858.2838707,7,handover,CMA-ES-IG,4,153,0,851,1,529,2
1722284945.1194663,7,handover,CMA-ES-IG,5,101,0,529,1,907,2
