timestamp,pid,task,method,sequence,trajectory1index,trajectory1rank,trajectory2index,trajectory2rank,trajectory3index,trajectory3rank
1722279448.7534342,6,handover,CMA-ES-IG,0,862,0,486,1,442,2
1722279529.679094,6,handover,CMA-ES-IG,1,471,0,577,1,110,2
1722279610.5503232,6,handover,CMA-ES-IG,2,598,0,343,1,955,2
1722279670.8930514,6,handover,CMA-ES-IG,3,603,0,680,1,109,2
1722279711.4684749,6,handover,CMA-ES-IG,4,690,0,856,1,501,2
1722279943.9223943,6,handover,infogain,0,824,0,542,1,263,2
1722280268.7374072,6,handover,infogain,0,8,0,115,1,588,2
1722280314.9856188,6,handover,infogain,1,532,0,224,1,78,2
1722280376.1537502,6,handover,infogain,2,734,0,842,1,542,2
1722280417.6349132,6,handover,infogain,3,947,0,56,1,184,2
1722280474.7774942,6,handover,infogain,4,126,0,888,1,540,2
1722280529.8650796,6,handover,infogain,5,8,0,310,1,481,2
1722280761.9458747,6,handover,CMA-ES,0,610,0,821,1,22,2
1722280830.5702286,6,handover,CMA-ES,1,686,0,992,1,403,2
1722280910.9618442,6,handover,CMA-ES,2,499,0,820,1,445,2
1722280990.0066586,6,handover,CMA-ES,3,337,0,509,1,958,2
1722281078.7738087,6,handover,CMA-ES,4,961,0,698,1,223,2
