timestamp,pid,task,method,sequence,trajectory1index,trajectory1rank,trajectory2index,trajectory2rank,trajectory3index,trajectory3rank
1722297554.0036705,30,blossom,infogain,0,1256,0,443,1,425,2
1722297603.1070864,30,blossom,infogain,1,761,0,854,1,346,2
1722297661.907348,30,blossom,infogain,2,228,0,111,1,1371,2
1722297693.203817,30,blossom,infogain,3,1268,0,1458,1,1428,2
1722297758.2919855,30,blossom,infogain,4,1010,0,299,1,1345,2
1722297812.410091,30,blossom,infogain,5,410,0,366,1,1188,2
1722297914.3733015,30,blossom,CMA-ES,0,416,0,142,1,96,2
1722297961.973298,30,blossom,CMA-ES,1,441,0,876,1,213,2
1722298013.9177926,30,blossom,CMA-ES,2,917,0,176,1,995,2
1722298044.6138837,30,blossom,CMA-ES,3,573,0,127,1,88,2
1722298073.846184,30,blossom,CMA-ES,4,341,0,822,1,1457,2
1722298110.0382023,30,blossom,CMA-ES,5,1430,0,1258,1,87,2
1722298146.6464176,30,blossom,CMA-ES,6,946,0,529,1,1490,2
1722298200.5988328,30,blossom,CMA-ES,7,1060,0,437,1,1035,2
1722298235.7669363,30,blossom,CMA-ES,8,1426,0,100,1,792,2
1722298315.9758928,30,blossom,CMA-ES-IG,0,1188,0,633,1,1485,2
1722298358.7283869,30,blossom,CMA-ES-IG,1,1237,0,682,1,1437,2
1722298388.744437,30,blossom,CMA-ES-IG,2,770,0,79,1,1437,2
1722298440.8882277,30,blossom,CMA-ES-IG,3,980,0,284,1,600,2
1722298490.9676888,30,blossom,CMA-ES-IG,4,1417,0,221,1,600,2
1722298530.6710281,30,blossom,CMA-ES-IG,5,600,0,682,1,774,2
