timestamp,pid,task,method,sequence,trajectory1index,trajectory1rank,trajectory2index,trajectory2rank,trajectory3index,trajectory3rank
1722378562.504815,15,handover,CMA-ES,0,851,0,894,1,707,2
1722378618.7192757,15,handover,CMA-ES,1,3,0,907,1,947,2
1722378690.4478154,15,handover,CMA-ES,2,22,0,698,1,127,2
1722378743.4102905,15,handover,CMA-ES,3,101,0,265,1,332,2
1722378787.636891,15,handover,CMA-ES,4,948,0,41,1,477,2
1722379025.5118082,15,handover,CMA-ES-IG,0,929,0,119,1,702,2
1722379090.146978,15,handover,CMA-ES-IG,1,310,0,12,1,650,2
1722379133.7009087,15,handover,CMA-ES-IG,2,544,0,791,1,246,2
1722379184.3462577,15,handover,CMA-ES-IG,3,32,0,442,1,890,2
1722379223.8514795,15,handover,CMA-ES-IG,4,845,0,629,1,786,2
1722379274.8095708,15,handover,CMA-ES-IG,5,742,0,93,1,199,2
1722379472.8018074,15,handover,infogain,0,328,0,221,1,425,2
1722379515.194365,15,handover,infogain,1,767,0,623,1,401,2
1722379566.089448,15,handover,infogain,2,246,0,479,1,907,2
1722379616.523011,15,handover,infogain,3,714,0,686,1,340,2
1722379670.105999,15,handover,infogain,4,510,0,876,1,588,2
1722379709.713932,15,handover,infogain,5,530,0,471,1,947,2
