timestamp,pid,task,method,sequence,trajectory1index,trajectory1rank,trajectory2index,trajectory2rank,trajectory3index,trajectory3rank
1722098434.7232277,5,handover,CMA-ES,0,120,0,898,1,252,2
1722098476.62742,5,handover,CMA-ES,1,603,0,842,1,542,2
1722098524.395107,5,handover,CMA-ES,2,906,0,128,1,690,2
1722098821.380715,5,handover,CMA-ES-IG,0,65,0,99,1,8,2
1722098876.7480464,5,handover,CMA-ES-IG,1,714,0,358,1,286,2
1722098925.0676963,5,handover,CMA-ES-IG,2,469,0,254,1,388,2
1722099011.4762087,5,handover,CMA-ES-IG,3,929,0,143,1,388,2
1722099059.6842167,5,handover,CMA-ES-IG,4,887,0,323,1,499,2
1722099151.667684,5,handover,CMA-ES-IG,5,747,0,831,1,939,2
1722099206.47529,5,handover,CMA-ES-IG,6,14,0,200,1,340,2
1722099420.9477136,5,handover,infogain,0,992,0,166,1,308,2
1722099464.6361084,5,handover,infogain,1,471,0,676,1,325,2
1722099511.0997367,5,handover,infogain,2,224,0,686,1,713,2
1722099588.443992,5,handover,infogain,3,120,0,337,1,859,2
1722099655.7320354,5,handover,infogain,4,591,0,769,1,40,2
1722099717.8365371,5,handover,infogain,5,985,0,650,1,437,2
1722099800.7082858,5,handover,infogain,6,471,0,465,1,934,2
