timestamp,pid,task,method,sequence,favorite_id
1722038127.4802883,24,blossom,CMA-ES-IG,2,1345
1722038209.5888748,24,blossom,CMA-ES-IG,5,1346
1722038319.1183295,24,blossom,CMA-ES-IG,8,321
1722038492.7844806,24,blossom,infogain,1,85
1722038740.8123739,24,blossom,infogain,7,1316
1722038885.2211993,24,blossom,CMA-ES,3,111
1722039116.292375,24,blossom,CMA-ES,11,164
