timestamp,pid,task,method,sequence,trajectory1index,trajectory1rank,trajectory2index,trajectory2rank,trajectory3index,trajectory3rank
1722038060.536023,24,blossom,CMA-ES-IG,0,1291,0,878,1,1128,2
1722038105.0433793,24,blossom,CMA-ES-IG,1,1128,0,1475,1,1345,2
1722038136.1814334,24,blossom,CMA-ES-IG,2,1116,0,1345,1,1345,2
1722038161.8856528,24,blossom,CMA-ES-IG,3,1345,0,90,1,44,2
1722038184.5332017,24,blossom,CMA-ES-IG,4,894,0,1310,1,1346,2
1722038212.212914,24,blossom,CMA-ES-IG,5,666,0,1346,1,1346,2
1722038243.7046776,24,blossom,CMA-ES-IG,6,858,0,1346,1,1346,2
1722038277.4390903,24,blossom,CMA-ES-IG,7,904,0,980,1,1346,2
1722038319.118913,24,blossom,CMA-ES-IG,8,1346,0,1346,1,321,2
1722038468.265527,24,blossom,infogain,0,924,0,724,1,8,2
1722038499.7767563,24,blossom,infogain,1,731,0,669,1,85,2
1722038533.213723,24,blossom,infogain,2,863,0,420,1,110,2
1722038578.0721676,24,blossom,infogain,3,1126,0,1186,1,929,2
1722038621.216454,24,blossom,infogain,4,1256,0,303,1,780,2
1722038681.2631824,24,blossom,infogain,5,299,0,632,1,474,2
1722038718.5350509,24,blossom,infogain,6,1188,0,634,1,88,2
1722038744.1424744,24,blossom,infogain,7,1190,0,960,1,1316,2
1722038824.926421,24,blossom,CMA-ES,0,15,0,354,1,594,2
1722038844.7580492,24,blossom,CMA-ES,1,423,0,175,1,1334,2
1722038866.6891613,24,blossom,CMA-ES,2,611,0,1277,1,229,2
1722038886.102085,24,blossom,CMA-ES,3,96,0,777,1,111,2
1722038919.8518586,24,blossom,CMA-ES,4,354,0,1167,1,1274,2
1722038941.4933002,24,blossom,CMA-ES,5,182,0,355,1,797,2
1722038964.6452227,24,blossom,CMA-ES,6,1071,0,327,1,797,2
1722039001.2369895,24,blossom,CMA-ES,7,1186,0,797,1,1061,2
1722039029.3645632,24,blossom,CMA-ES,8,1300,0,341,1,205,2
1722039068.4142559,24,blossom,CMA-ES,9,1150,0,300,1,773,2
1722039091.5403953,24,blossom,CMA-ES,10,1064,0,1034,1,381,2
1722039124.7317731,24,blossom,CMA-ES,11,1470,0,152,1,164,2
1722039151.6756034,24,blossom,CMA-ES,12,308,0,660,1,164,2
1722039178.142906,24,blossom,CMA-ES,13,471,0,1130,1,164,2
1722039209.6962368,24,blossom,CMA-ES,14,936,0,820,1,1243,2
1722039236.6596844,24,blossom,CMA-ES,15,717,0,1243,1,47,2
