timestamp,pid,task,method,sequence,played_trajectory
1722036421.2874725,4,handover,CMA-ES,0,351
1722036440.7111804,4,handover,CMA-ES,0,224
1722036453.5591648,4,handover,CMA-ES,0,528
1722036476.071209,4,handover,CMA-ES,0,351
1722036499.4127643,4,handover,CMA-ES,1,227
1722036512.0409863,4,handover,CMA-ES,1,224
1722036524.9373581,4,handover,CMA-ES,1,235
1722036537.73783,4,handover,CMA-ES,1,701
1722036540.225809,4,handover,CMA-ES,1,701
1722036553.037073,4,handover,CMA-ES,2,608;best
1722036562.6502736,4,handover,CMA-ES,2,224
1722036565.6419666,4,handover,CMA-ES,2,224
1722036579.922902,4,handover,CMA-ES,2,105
1722036591.4676569,4,handover,CMA-ES,2,221
1722036593.0112793,4,handover,CMA-ES,2,221
1722036605.8917465,4,handover,CMA-ES,2,506
1722036620.1205945,4,handover,CMA-ES,3,608;best
1722036632.9169636,4,handover,CMA-ES,3,425
1722036634.1886933,4,handover,CMA-ES,3,425
1722036645.4608762,4,handover,CMA-ES,3,224
1722036653.909288,4,handover,CMA-ES,3,127
1722036658.5171022,4,handover,CMA-ES,3,127
1722036666.125204,4,handover,CMA-ES,3,127
1722036671.5974371,4,handover,CMA-ES,3,990
1722036685.903401,4,handover,CMA-ES,4,608;best
1722036698.982552,4,handover,CMA-ES,4,433
1722036711.854549,4,handover,CMA-ES,4,106
1722036724.6394665,4,handover,CMA-ES,4,870
1722036738.775397,4,handover,CMA-ES,5,416
1722036747.6158564,4,handover,CMA-ES,5,383
1722036750.3602493,4,handover,CMA-ES,5,383
1722036752.871987,4,handover,CMA-ES,5,383
1722036767.0005226,4,handover,CMA-ES,5,523
1722036782.7461038,4,handover,CMA-ES,6,608;best
1722036796.0331073,4,handover,CMA-ES,6,523
1722036808.017196,4,handover,CMA-ES,6,523
1722036809.2655528,4,handover,CMA-ES,6,523
1722036822.0420787,4,handover,CMA-ES,6,603
1722036840.8019803,4,handover,CMA-ES,7,325
1722036851.786565,4,handover,CMA-ES,7,544
1722036853.1381233,4,handover,CMA-ES,7,544
