timestamp,pid,task,method,sequence,trajectory1index,trajectory1rank,trajectory2index,trajectory2rank,trajectory3index,trajectory3rank
1722296296.9783838,10,handover,infogain,0,488,0,947,1,906,2
1722296358.850746,10,handover,infogain,1,696,0,564,1,623,2
1722296418.8665957,10,handover,infogain,2,356,0,876,1,742,2
1722296468.1308825,10,handover,infogain,3,263,0,337,1,120,2
1722296549.4510849,10,handover,infogain,4,437,0,955,1,765,2
1722296694.0597203,10,handover,CMA-ES,0,89,0,416,1,983,2
1722296752.5004582,10,handover,CMA-ES,1,972,0,712,1,934,2
1722296813.8917265,10,handover,CMA-ES,2,80,0,310,1,864,2
1722296884.980211,10,handover,CMA-ES,3,985,0,679,1,649,2
1722296955.0924673,10,handover,CMA-ES,4,8,0,749,1,823,2
1722297082.196375,10,handover,CMA-ES-IG,0,328,0,53,1,574,2
1722297149.4691772,10,handover,CMA-ES-IG,1,481,0,567,1,390,2
1722297206.116918,10,handover,CMA-ES-IG,2,603,0,986,1,697,2
1722297276.293292,10,handover,CMA-ES-IG,3,947,0,752,1,839,2
1722297327.0935082,10,handover,CMA-ES-IG,4,352,0,231,1,629,2
