timestamp,pid,task,method,sequence,played_trajectory
1722378487.6666608,35,blossom,CMA-ES-IG,0,1284
1722378494.226144,35,blossom,CMA-ES-IG,0,666
1722378502.5934644,35,blossom,CMA-ES-IG,0,434
1722378516.1048396,35,blossom,CMA-ES-IG,1,50
1722378522.472682,35,blossom,CMA-ES-IG,1,283
1722378528.7518916,35,blossom,CMA-ES-IG,1,1019
1722378546.4766884,35,blossom,CMA-ES-IG,2,1185;best
1722378546.5591161,35,blossom,CMA-ES-IG,2,50
1722378552.8788595,35,blossom,CMA-ES-IG,2,1122
1722378559.1981826,35,blossom,CMA-ES-IG,2,722
1722378570.5645294,35,blossom,CMA-ES-IG,2,1185;best
1722378572.477733,35,blossom,CMA-ES-IG,2,50
1722378577.490763,35,blossom,CMA-ES-IG,2,50
1722378585.1490586,35,blossom,CMA-ES-IG,3,603
1722378591.3167403,35,blossom,CMA-ES-IG,3,50
1722378597.4923494,35,blossom,CMA-ES-IG,3,1096
1722378609.0916195,35,blossom,CMA-ES-IG,3,1185;best
1722378643.9865527,35,blossom,CMA-ES-IG,0,1327
1722378649.7064357,35,blossom,CMA-ES-IG,0,151
1722378656.2984097,35,blossom,CMA-ES-IG,0,151
1722378662.881895,35,blossom,CMA-ES-IG,0,495
1722378674.6328075,35,blossom,CMA-ES-IG,0,112;best
1722378677.369154,35,blossom,CMA-ES-IG,0,1327
1722378683.8407521,35,blossom,CMA-ES-IG,0,151
1722378690.4806232,35,blossom,CMA-ES-IG,0,495
1722378707.7364006,35,blossom,CMA-ES-IG,1,112;best
1722378710.1197855,35,blossom,CMA-ES-IG,1,1400
1722378716.6957235,35,blossom,CMA-ES-IG,1,191
1722378724.207451,35,blossom,CMA-ES-IG,1,1096
1722378731.238857,35,blossom,CMA-ES-IG,1,1400
1722378738.7829468,35,blossom,CMA-ES-IG,1,1096
1722378745.0711248,35,blossom,CMA-ES-IG,1,1400
1722378754.0380926,35,blossom,CMA-ES-IG,2,151
1722378760.4301226,35,blossom,CMA-ES-IG,2,1400
1722378766.8778403,35,blossom,CMA-ES-IG,2,1491
1722378778.5405176,35,blossom,CMA-ES-IG,2,112;best
1722378780.6614087,35,blossom,CMA-ES-IG,2,151
1722378787.2533402,35,blossom,CMA-ES-IG,2,1400
1722378795.2051744,35,blossom,CMA-ES-IG,2,1491
1722378803.804786,35,blossom,CMA-ES-IG,3,1336
1722378815.4601467,35,blossom,CMA-ES-IG,3,112;best
1722378817.2844775,35,blossom,CMA-ES-IG,3,1491
1722378823.6523714,35,blossom,CMA-ES-IG,3,1491
1722378832.0120258,35,blossom,CMA-ES-IG,3,1336
1722378842.1637585,35,blossom,CMA-ES-IG,4,1491
1722378848.571653,35,blossom,CMA-ES-IG,4,976
1722378983.2489493,35,blossom,infogain,0,632
1722378989.39263,35,blossom,infogain,0,19
1722378995.656301,35,blossom,infogain,0,1352
1722379025.4721363,35,blossom,infogain,1,291
1722379031.8561518,35,blossom,infogain,1,1038
1722379037.7997718,35,blossom,infogain,1,210
1722379044.927687,35,blossom,infogain,1,291
1722379073.2226276,35,blossom,infogain,2,525;best
1722379075.4312139,35,blossom,infogain,2,811
1722379081.8149889,35,blossom,infogain,2,234
1722379089.1030948,35,blossom,infogain,2,960
1722379095.1108544,35,blossom,infogain,2,811
1722379111.62275,35,blossom,infogain,3,228
1722379118.0545976,35,blossom,infogain,3,1229
1722379124.5905862,35,blossom,infogain,3,538
1722379131.1423583,35,blossom,infogain,3,1229
1722379168.339463,35,blossom,infogain,4,1300;best
1722379170.5580466,35,blossom,infogain,4,952
1722379177.118017,35,blossom,infogain,4,190
1722379183.4459796,35,blossom,infogain,4,151
1722379190.357818,35,blossom,infogain,4,952
1722379224.300286,35,blossom,infogain,5,777;best
1722379226.109574,35,blossom,infogain,5,493
1722379232.877551,35,blossom,infogain,5,298
1722379239.2133837,35,blossom,infogain,5,1345
1722379247.4214091,35,blossom,infogain,5,493
1722379253.237281,35,blossom,infogain,5,298
1722379263.1732666,35,blossom,infogain,5,1345
1722379269.5971901,35,blossom,infogain,5,493
1722379275.6051304,35,blossom,infogain,5,298
1722379438.076697,35,blossom,CMA-ES,0,1345
1722379444.5643082,35,blossom,CMA-ES,0,958
1722379450.796549,35,blossom,CMA-ES,0,1345
1722379457.1883078,35,blossom,CMA-ES,0,1345
1722379474.9618504,35,blossom,CMA-ES,1,351;best
1722379476.7961497,35,blossom,CMA-ES,1,1435
1722379483.452452,35,blossom,CMA-ES,1,444
1722379490.0123622,35,blossom,CMA-ES,1,1436
1722379499.107875,35,blossom,CMA-ES,1,1435
1722379512.5809095,35,blossom,CMA-ES,1,351;best
1722379515.420017,35,blossom,CMA-ES,2,1186
1722379522.364006,35,blossom,CMA-ES,2,1491
1722379529.4918785,35,blossom,CMA-ES,2,676
1722379552.6193876,35,blossom,CMA-ES,3,351;best
1722379554.0918822,35,blossom,CMA-ES,3,966
1722379561.7320452,35,blossom,CMA-ES,3,311
1722379570.7159953,35,blossom,CMA-ES,3,499
1722379575.7392747,35,blossom,CMA-ES,3,499
1722379599.488817,35,blossom,CMA-ES,4,351;best
1722379601.6358922,35,blossom,CMA-ES,4,833
1722379608.4119422,35,blossom,CMA-ES,4,1268
1722379614.6998422,35,blossom,CMA-ES,4,53
1722379621.42756,35,blossom,CMA-ES,4,833
1722379632.0116525,35,blossom,CMA-ES,5,902
1722379638.7878547,35,blossom,CMA-ES,5,1435
1722379647.571926,35,blossom,CMA-ES,5,355
1722379662.634272,35,blossom,CMA-ES,5,351;best
1722379664.9398088,35,blossom,CMA-ES,6,740
1722379671.2916322,35,blossom,CMA-ES,6,301
1722379677.7081735,35,blossom,CMA-ES,6,347
1722379688.243859,35,blossom,CMA-ES,7,1247
1722379695.1958082,35,blossom,CMA-ES,7,12
1722379702.2439492,35,blossom,CMA-ES,7,312
