timestamp,pid,task,method,sequence,favorite_id
1722297601.7949893,30,blossom,infogain,1,346
1722297756.5403252,30,blossom,infogain,4,1345
1722297800.140252,30,blossom,infogain,5,1188
1722297913.1741228,30,blossom,CMA-ES,0,96
1722298013.0775607,30,blossom,CMA-ES,2,995
1722298199.5909169,30,blossom,CMA-ES,7,1035
1722298333.1439219,30,blossom,CMA-ES-IG,1,682
1722298356.3599327,30,blossom,CMA-ES-IG,1,1437
