timestamp,pid,task,method,sequence,favorite_id
1722032752.5970144,23,blossom,CMA-ES,15,94
1722033369.6146438,23,blossom,CMA-ES-IG,1,722
1722033462.0798109,23,blossom,CMA-ES-IG,4,976
1722033507.1253195,23,blossom,CMA-ES-IG,6,541
1722033538.563391,23,blossom,CMA-ES-IG,7,1063
1722033570.3846,23,blossom,CMA-ES-IG,8,69
1722033652.2305114,23,blossom,CMA-ES-IG,11,343
1722033853.2268708,23,blossom,infogain,2,40
1722033892.682058,23,blossom,infogain,3,426
1722034012.6252828,23,blossom,infogain,6,591
