timestamp,pid,task,method,sequence,trajectory1index,trajectory1rank,trajectory2index,trajectory2rank,trajectory3index,trajectory3rank
1722375170.4439619,34,blossom,infogain,0,640,0,41,1,414,2
1722375212.46851,34,blossom,infogain,1,609,0,141,1,375,2
1722375263.3732514,34,blossom,infogain,2,183,0,982,1,492,2
1722375304.8620408,34,blossom,infogain,3,1426,0,909,1,1345,2
1722375335.1103559,34,blossom,infogain,4,225,0,43,1,723,2
1722375387.9513192,34,blossom,infogain,5,1392,0,205,1,591,2
1722375424.7519238,34,blossom,infogain,6,775,0,157,1,949,2
1722375629.3873012,34,blossom,CMA-ES,0,1385,0,17,1,1338,2
1722375654.339344,34,blossom,CMA-ES,1,540,0,565,1,600,2
1722375694.548185,34,blossom,CMA-ES,2,1273,0,988,1,743,2
1722375718.8044865,34,blossom,CMA-ES,3,1345,0,1153,1,1431,2
1722375758.2212014,34,blossom,CMA-ES,4,731,0,518,1,30,2
1722375799.5175512,34,blossom,CMA-ES,5,1028,0,1154,1,1304,2
1722375831.9179564,34,blossom,CMA-ES,6,747,0,797,1,1199,2
1722375870.4628098,34,blossom,CMA-ES,7,499,0,993,1,1199,2
1722375898.9752803,34,blossom,CMA-ES,8,286,0,306,1,235,2
1722376027.4733233,34,blossom,CMA-ES-IG,0,1461,0,321,1,630,2
1722376068.06599,34,blossom,CMA-ES-IG,1,1241,0,879,1,600,2
1722376095.0340393,34,blossom,CMA-ES-IG,2,855,0,343,1,600,2
1722376119.906746,34,blossom,CMA-ES-IG,3,1327,0,1036,1,477,2
1722376152.8274047,34,blossom,CMA-ES-IG,4,89,0,1226,1,477,2
1722376188.0675495,34,blossom,CMA-ES-IG,5,1335,0,477,1,316,2
1722376209.7402167,34,blossom,CMA-ES-IG,6,25,0,987,1,316,2
1722376240.1323252,34,blossom,CMA-ES-IG,7,337,0,25,1,316,2
1722376255.6850362,34,blossom,CMA-ES-IG,8,316,0,316,1,316,2
1722376288.902327,34,blossom,CMA-ES-IG,9,316,0,316,1,316,2
1722376302.36651,34,blossom,CMA-ES-IG,10,440,0,316,1,316,2
1722376315.2072046,34,blossom,CMA-ES-IG,11,316,0,316,1,316,2
1722376330.1672292,34,blossom,CMA-ES-IG,12,723,0,316,1,316,2
1722376335.7831242,34,blossom,CMA-ES-IG,13,316,0,316,1,316,2
1722376361.3925896,34,blossom,CMA-ES-IG,14,316,0,316,1,316,2
