timestamp,pid,task,method,sequence,trajectory1index,trajectory1rank,trajectory2index,trajectory2rank,trajectory3index,trajectory3rank
1722096213.0631542,25,blossom,infogain,0,68,0,111,1,953,2
1722096271.6159046,25,blossom,infogain,1,1481,0,257,1,298,2
1722096330.6890883,25,blossom,infogain,2,748,0,1498,1,601,2
1722096375.993966,25,blossom,infogain,3,1478,0,641,1,689,2
1722096463.8919806,25,blossom,infogain,4,561,0,1088,1,999,2
1722096562.9579372,25,blossom,infogain,5,499,0,198,1,1334,2
1722096604.5743918,25,blossom,infogain,6,405,0,179,1,375,2
1722096655.318188,25,blossom,infogain,7,1187,0,28,1,225,2
1722096695.8982034,25,blossom,infogain,8,77,0,470,1,737,2
1722096741.6141806,25,blossom,infogain,9,201,0,929,1,356,2
1722096980.4948907,25,blossom,CMA-ES,0,111,0,881,1,392,2
1722097013.397722,25,blossom,CMA-ES,1,341,0,186,1,1212,2
1722097054.1793184,25,blossom,CMA-ES,2,1010,0,573,1,541,2
1722097081.1383119,25,blossom,CMA-ES,3,68,0,1304,1,510,2
1722097142.1119888,25,blossom,CMA-ES,4,1349,0,107,1,1435,2
1722097166.110934,25,blossom,CMA-ES,5,31,0,151,1,410,2
1722097237.988967,25,blossom,CMA-ES,6,278,0,478,1,307,2
1722097277.2998912,25,blossom,CMA-ES,7,800,0,154,1,377,2
1722097316.0427892,25,blossom,CMA-ES,8,316,0,1385,1,1087,2
1722097339.338401,25,blossom,CMA-ES,9,1081,0,858,1,1087,2
1722097364.4661238,25,blossom,CMA-ES,10,1484,0,1324,1,1150,2
1722097410.0570261,25,blossom,CMA-ES,11,811,0,709,1,1299,2
1722097651.877942,25,blossom,CMA-ES-IG,0,918,0,685,1,1487,2
1722097677.1573591,25,blossom,CMA-ES-IG,1,1487,0,386,1,228,2
1722097714.2852147,25,blossom,CMA-ES-IG,2,722,0,355,1,228,2
1722097742.3252807,25,blossom,CMA-ES-IG,3,460,0,1465,1,228,2
1722097774.6207962,25,blossom,CMA-ES-IG,4,1083,0,228,1,1104,2
1722097804.9087918,25,blossom,CMA-ES-IG,5,1041,0,1447,1,1104,2
1722097833.2446084,25,blossom,CMA-ES-IG,6,461,0,1104,1,1104,2
1722097866.3005369,25,blossom,CMA-ES-IG,7,901,0,1485,1,1047,2
1722097889.8126326,25,blossom,CMA-ES-IG,8,705,0,1047,1,1070,2
