timestamp,pid,task,method,sequence,played_trajectory
1722364855.6397061,32,blossom,CMA-ES,0,427
1722364862.3996897,32,blossom,CMA-ES,0,175
1722364870.5678048,32,blossom,CMA-ES,0,679
1722364877.8399417,32,blossom,CMA-ES,0,175
1722364883.77611,32,blossom,CMA-ES,0,427
1722364907.5843735,32,blossom,CMA-ES,0,175
1722364914.3678105,32,blossom,CMA-ES,1,709
1722364921.1284041,32,blossom,CMA-ES,1,1345
1722364927.8561969,32,blossom,CMA-ES,1,170
1722364936.5043316,32,blossom,CMA-ES,1,1345
1722364943.2005448,32,blossom,CMA-ES,1,709
1722364960.1843297,32,blossom,CMA-ES,2,838
1722364967.0086074,32,blossom,CMA-ES,2,1210
1722364972.0299084,32,blossom,CMA-ES,2,1210
1722364977.0535688,32,blossom,CMA-ES,2,52
1722364985.2888806,32,blossom,CMA-ES,2,838
1722364990.3113873,32,blossom,CMA-ES,2,838
1722364995.333664,32,blossom,CMA-ES,2,1210
1722365000.3558524,32,blossom,CMA-ES,2,1210
1722365006.3768299,32,blossom,CMA-ES,3,321
1722365012.4571388,32,blossom,CMA-ES,3,365
1722365018.297264,32,blossom,CMA-ES,3,692
1722365024.8172667,32,blossom,CMA-ES,3,321
1722365030.6413095,32,blossom,CMA-ES,3,365
1722365042.3370512,32,blossom,CMA-ES,4,1345
1722365048.785605,32,blossom,CMA-ES,4,550
1722365056.497556,32,blossom,CMA-ES,4,928
1722365064.7298713,32,blossom,CMA-ES,4,1345
1722365073.449549,32,blossom,CMA-ES,4,1345
1722365079.9613907,32,blossom,CMA-ES,4,550
1722365092.3859053,32,blossom,CMA-ES,4,550
1722365103.6899996,32,blossom,CMA-ES,5,1256
1722365110.6100655,32,blossom,CMA-ES,5,782
1722365117.2658458,32,blossom,CMA-ES,5,291
1722365124.2180884,32,blossom,CMA-ES,5,1256
1722365134.0264528,32,blossom,CMA-ES,6,111
1722365140.7545764,32,blossom,CMA-ES,6,837
1722365147.6421506,32,blossom,CMA-ES,6,366
1722365155.034395,32,blossom,CMA-ES,6,837
1722365161.4586933,32,blossom,CMA-ES,6,837
1722365265.0755334,32,blossom,CMA-ES-IG,0,44
1722365271.6436515,32,blossom,CMA-ES-IG,0,238
1722365277.5716245,32,blossom,CMA-ES-IG,0,247
1722365285.0675454,32,blossom,CMA-ES-IG,0,44
1722365300.5797842,32,blossom,CMA-ES-IG,1,73
1722365307.707978,32,blossom,CMA-ES-IG,1,44
1722365314.4199739,32,blossom,CMA-ES-IG,1,284
1722365320.3556042,32,blossom,CMA-ES-IG,1,73
1722365325.8360307,32,blossom,CMA-ES-IG,1,284
1722365337.1323109,32,blossom,CMA-ES-IG,2,949
1722365343.8844094,32,blossom,CMA-ES-IG,2,682
1722365350.3484025,32,blossom,CMA-ES-IG,2,44
1722365356.3086674,32,blossom,CMA-ES-IG,2,949
1722365365.6923487,32,blossom,CMA-ES-IG,3,84
1722365372.1883883,32,blossom,CMA-ES-IG,3,44
1722365378.1406453,32,blossom,CMA-ES-IG,3,987
1722365390.2687123,32,blossom,CMA-ES-IG,4,44
1722365396.3807542,32,blossom,CMA-ES-IG,4,1096
1722365403.0847583,32,blossom,CMA-ES-IG,4,44
1722365421.8770936,32,blossom,CMA-ES-IG,5,84
1722365428.2932515,32,blossom,CMA-ES-IG,5,84
1722365434.7490516,32,blossom,CMA-ES-IG,5,128
1722365446.8773146,32,blossom,CMA-ES-IG,6,1278
1722365453.3172696,32,blossom,CMA-ES-IG,6,419
1722365552.6384113,32,blossom,infogain,0,737
1722365559.6463408,32,blossom,infogain,0,363
1722365568.5744486,32,blossom,infogain,0,1070
1722365601.974729,32,blossom,infogain,1,1381
1722365609.558929,32,blossom,infogain,1,104
1722365616.918866,32,blossom,infogain,1,1414
1722365625.535133,32,blossom,infogain,1,1381
1722365650.0790899,32,blossom,infogain,2,681
1722365658.8153431,32,blossom,infogain,2,1015
1722365665.1194475,32,blossom,infogain,2,646
1722365671.5834744,32,blossom,infogain,2,1015
1722365678.071556,32,blossom,infogain,2,681
1722365710.1519167,32,blossom,infogain,3,792
1722365717.9039629,32,blossom,infogain,3,1408
1722365724.6719632,32,blossom,infogain,3,296
1722365731.4963882,32,blossom,infogain,3,1408
1722365738.2083106,32,blossom,infogain,3,792
1722365767.0004454,32,blossom,infogain,4,1405
1722365775.872686,32,blossom,infogain,4,1034
1722365782.7847164,32,blossom,infogain,4,999
1722365790.0085864,32,blossom,infogain,4,1034
1722365795.6888616,32,blossom,infogain,4,1405
1722365801.968864,32,blossom,infogain,4,363
1722365807.7210166,32,blossom,infogain,4,1405
1722365813.9290922,32,blossom,infogain,4,999
1722365829.680909,32,blossom,infogain,5,1032
1722365836.68097,32,blossom,infogain,5,549
1722365843.457079,32,blossom,infogain,5,27
1722365850.1212723,32,blossom,infogain,5,1032
